search_id,street_no,street_dir,street,street_typ,unit_no,zip,results_num,possible_matches_num
123,429,N,Bridgeton Rd,,10,97217,0,0
124,2351,NW,Westover,,904,97210,0,0
125,841,SW,GAINES,ST,405,97239,220,1
126,23,SW,HAMILTON,ST,,97239,1,1
127,3601,SW,RIVER,PKWY,1108,97239,314,1
128,2430,NW,WESTOVER,RD,202,97210,6,0
129,200,SW,FLORENCE,AVE,I-14,97080,135,0
130,1500,SW,11TH,AVE,703,97201,146,1
131,3601,SW,RIVER,PKWY,2008,97239,314,1
132,8259,NE,SCHUYLER,ST,,97220,1,1
133,1400,NW,IRVING,ST,629,97209,192,1
134,3636,SW,BAIRD,ST,10,97219,4,1
135,1410,NW,Kearney,ST,1110,97209,10,0
136,10020,N,Mohawk,AVE,,97203,1,1
137,1040,NW,NAITO,PKWY,O-6,97209,17,1
138,730,NW,NAITO  E-7,PKWY,E-7,97209,0,0
139,1221,SW,10TH,AVE,1101,97205,228,2
140,333,NW,9TH,AVE,708,97209,185,1
141,102,SW,PENDLETON,ST,,97239,3,3
142,1441,SW,CLAY,ST,106,97201,33,1
143,42,,CONDOLEA,CT,,97035,0,0
144,1030,NW,12TH,,224,97209,178,1
145,1221,SW,10TH,AVE,405,97205,228,1
146,3030,SE,YAMHILL,ST,3,97214,2,1
147,323,NW,13th,AVE,405,97209,16,1
148,5729,NE,7th,AVE,,97211,1,1
149,1198,NE,PALMBLAD,DR,,97030,1,1
150,1221,SW,10TH,AVE,1414,97205,228,1
151,4039,SE,34th,AVE,,97202,1,1
152,2221,SW,1ST,AVE,1023,97201,153,1
153,1535,SW,Clay,ST,134,97201,67,1
154,900,NE,FRANCIS,AVE,51,97030,165,2
155,2445,NW,WESTOVER,RD,301,97210,66,1
156,47,,EAGLE CREST,DR,42,97035,0,0
157,8958,N,COURTENAY,AVE,,97203,0,0
158,15041,NE,ROSE,PKWY,,97230,1,1
159,2365,NW,NORTHRUP,ST,F,97210,5,1
160,841,SW,GAINES,ST,203,97239,220,1
161,14860,NE,ROSE,PKWY,,97230,1,1
162,311,SE,133rd,AVE,,97233,1,1
163,1620,NE,Broadway,,541,97232,91,0
164,2301,SE,CARUTHERS,ST,9,97214,11,1
165,946,SW,FOX,PL,49,97060,1,1
166,4123,SE,39TH,AVE,,97202,1,1
167,4655,NE,KILLINGSWORTH,ST,33,97218,4,1
168,3601,SW,RIVER,PKWY,313,97239,314,1
169,14717,NE,Stanton,CT,,97230,1,1
170,3601,SW,RIVER,PKWY,608,97239,314,2
171,4817,SW,HUMPHREY PARK,CRES,,97221,1,0
172,6115,SE,FRANCIS,ST,,97206,0,0
173,4135,SE,Gladstone,ST,,97214,5,0
174,9234,SE,DIVISION,ST,105,97266,14,1
175,3723,N,RUSSET,ST,,97217,0,0
176,9050,NE,BROADWAY,ST,,97220,1,0
177,1025,NE,68TH,AVE,,97213,2,2
178,23608,NW,St. Helens Road,,U55,97231,0,0
179,900,NE,81ST,AVE,312,97213,62,1
180,10345,NE,CLACKAMAS,ST,6,97220,26,1
181,247,,CERVANTES,,,97035,0,0
182,4415,SE,WOODSTOCK,BLVD,,97206,7,6
183,8025,SW,57TH,AVE,,97219,1,1
184,3601,SW,River,PKWY,1306,97239,314,1
185,18079,SE,Bush  (Lot 5),TER,,97030,0,0
186,45,,EAGLE CREST,DR,411,97035,0,0
187,4146,SW,Corbett,AVE,22,97239,1,0
188,2335,NW,RALEIGH,ST,235,97210,73,1
189,1500,SW,5TH,AVE,605,97201,160,1
190,400,NE,100TH,AVE,205,97220,106,1
191,1255,NW,9TH,AVE,1401,97209,194,1
192,1130,NW,12TH AVENUE 310,,310,97209,0,0
193,709,SW,16TH,AVE,405,97205,56,1
194,3601,SW,RIVER,PKWY,3101,97239,314,1
195,1937,NE,13TH,AVE,,97212,2,2
196,3038,NW,Montara,LOOP,103,97229,2,0
197,1221,SW,10TH,AVE,1703,97205,228,1
198,786,E,HIST COLUMBIA RIVER,HWY,,97060,1,1
199,2021,SW,MAIN,ST,64,97205,56,1
200,3347,SW,24th,TER,,97080,1,1
201,105,NE,FARGO,ST,105,97212,1,0
202,1255,NW,9TH,AVE,1009,97209,194,1
203,1830,NW,RIVERSCAPE,ST,806,97209,79,0
204,2159,NE,WEIDLER,ST,,97232,1,1
205,820,NW,NAITO,PKWY,G-10,97209,13,1
206,1708,NE,JARRETT,ST,,97211,0,0
207,2365,NW,NORTHRUP,ST,E,97210,5,1
208,4362,SW,DICKINSON,ST,,97219,1,1
209,8729,SE,MALDEN,CT,,97266,1,0
210,4518,NE,19TH,AVE,3,97211,1,1
211,3831,SW,CANBY,ST,,97219,1,1
212,1714,NW,COUCH,ST,11,97209,23,1
213,1410,SW,11TH,AVE,603,97201,45,1
214,895,N,HARBOUR,DR,1,97217,2,0
215,10187,NW,WILSHIRE,LN,39,97229,1,1
216,925,NE,68TH,AVE,925,97213,2,1
217,4926,SW,CORBETT,AVE,203,97239,37,1
218,1001,NW,LOVEJOY 901,ST,901,97209,0,0
219,3601,SW,RIVER,PKWY,2701,97239,314,1
220,533,NE,HOLLADAY,ST,201A,97232,63,0
221,7316,SE,83rd,AVE,,97266,1,1
222,1310,NW,NAITO,PKWY,203,97209,106,1
223,3601,SW,River,PKWY,1802,97239,314,1
224,2844,SE,50TH,AVE,,97206,2,1
225,6,,MORNINGVIEW,LN,,97035,0,0
226,2116,NW,16TH,AVE,,97209,1,1
227,1780,NE,19TH,ST,,97030,1,1
228,1503,N,Hayden Island,DR,25,97217,375,0
229,2166,NW,VILLAGE,CIR,,97229,1,1
230,935,SE,141ST,AVE,,97233,2,2
231,4784,W,POWELL,BLVD,115,97030,8,1
232,65,,OSWEGO SMT,,,97035,0,0
233,2105,NE,EVERETT,ST,2,97232,9,1
234,4306,SE,WOODSTOCK,BLVD,,97206,3,3
235,1400,NW,IRVING,ST,303,97209,192,1
236,1221,SW,10TH,AVE,714,97205,228,1
237,1125,NW,9TH,AVE,215,97209,153,1
238,10235,NW,EDGEWOOD,DR,25,97229,1,1
239,20140,NE,SANDY,BLVD,97,97024,212,0
240,1610,NE,TILLAMOOK,ST,3,97212,4,1
241,6012,SE,KNAPP,ST,,97206,0,0
242,2251,SE,85TH,AVE,,97216,2,2
243,1001,NW,Lovejoy 502,,502,97209,0,0
244,335,NE,BRYANT,ST,,97211,2,2
245,7835,SE,92ND,AVE,27,97266,32,1
246,900,NE,81ST,AVE,401,97213,62,1
247,1926,W,Burnside,ST,1006,97209,265,1
248,11913,SE,ASH,ST,,97216,1,1
249,1535,SW,CLAY,ST,135,97201,67,1
250,2454,NW,Westover,RD,A 301,97210,30,0
251,922,NW,11TH,AVE,1013,97209,140,1
252,12340,N,SOUTH SHORE,AVE,,97217,3,3
253,5429,SE,17th,AVE,,97202,1,1
254,10360,SE,Reedway,,,97266,1,1
255,1221,SW,10TH,,511,97205,228,1
256,355,SE,146TH,AVE,6,97233,1,1
257,1221,NE,21ST,AVE,,97232,1,1
258,15420,NE,KNOTT,ST,1,97230,27,12
259,44,,EAGLE CREST,DR,8,97035,0,0
260,3357,NE,162ND,AVE,,97230,1,1
261,320,NW,UPTOWN,TER,3B,97210,9,1
262,1400,NW,IRVING,ST,619,97209,192,1
263,937,NW,GLISAN,ST,736,97209,131,1
264,1510,NE,19TH,AVE,2,97232,4,1
265,514,SW,EASTMAN,PKWY,,97080,1,1
266,2829,NE,RENE,AVE,,97030,1,1
267,2829,SE,BELMONT,ST,201,97214,32,1
268,1221,SW,10TH,AVE,905,97205,228,1
269,841,SW,GAINES,ST,714,97239,220,1
270,1830,NW,RIVERSCAPE,ST,309 L,97209,79,0
271,303,NW,UPTOWN TERRACE,,2-B,97210,0,0
272,1503,N,HAYDEN ISLAND,DR,#52,97230,375,0
273,2350,NW,SAVIER - 314,ST,314,97210,0,0
274,4028,SE,124th,AVE,,97236,1,1
275,1221,SW,10TH,AVE,1305,97205,228,1
276,9216,SE,RAMONA,ST,,97266,1,1
277,1130,NW,12TH,AVE,508,97209,71,1
278,4749,SE,36th,PL,,97202,1,1
279,9205,SE,HOLGATE,BLVD,,97266,10,10
280,724,NW,WESTOVER,CIR,,97210,1,1
281,1221,SW,10TH,AVE,701,97205,228,1
282,2182,NW,HOYT,ST,8,97210,17,1
283,1260,NW,NAITO,PKWY,603,97209,96,1
284,839,SW,SUNSET,WAY,,97060,2,2
285,2351,NW,Westover,RD,1203,97210,112,1
286,1830,NW,Riverscape,ST,108,97209,79,0
287,7005,N,OMAHA,AVE,,97217,0,0
288,1001,NW,Lovejoy 1310,,1310,97209,0,0
289,6020,NE,60TH,AVE,,97218,1,1
290,12424,,ORCHARD HILL,RD,,97035,0,0
